_id,FinancialYear,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
332,2012/13,S12000019,"",All,d,All,d,163,"",100,""
333,2013/14,S12000019,"",All,d,All,d,177,"",100,""
334,2014/15,S12000019,"",All,d,All,d,191,"",100,""
335,2015/16,S12000019,"",All,d,All,d,158,"",100,""
336,2016/17,S12000019,"",All,d,All,d,164,"",100,""
337,2017/18,S12000019,"",All,d,All,d,122,"",100,""
338,2018/19,S12000019,"",All,d,All,d,111,"",100,""
339,2006/07,S12000020,"",All,d,All,d,119,"",100,""
340,2007/08,S12000020,"",All,d,All,d,95,"",100,""
341,2008/09,S12000020,"",All,d,All,d,92,"",100,""
342,2009/10,S12000020,"",All,d,All,d,80,"",100,""
343,2010/11,S12000020,"",All,d,All,d,138,"",100,""
344,2011/12,S12000020,"",All,d,All,d,111,"",100,""
345,2012/13,S12000020,"",All,d,All,d,66,"",100,""
346,2013/14,S12000020,"",All,d,All,d,50,"",100,""
347,2014/15,S12000020,"",All,d,All,d,85,"",100,""
348,2015/16,S12000020,"",All,d,All,d,95,"",100,""
349,2016/17,S12000020,"",All,d,All,d,113,"",100,""
350,2017/18,S12000020,"",All,d,All,d,157,"",100,""
351,2018/19,S12000020,"",All,d,All,d,136,"",100,""
352,2006/07,S12000023,"",All,d,All,d,8,"",100,""
353,2007/08,S12000023,"",All,d,All,d,,c,,c
354,2008/09,S12000023,"",All,d,All,d,,c,,c
355,2009/10,S12000023,"",All,d,All,d,,c,,c
356,2010/11,S12000023,"",All,d,All,d,5,"",100,""
357,2011/12,S12000023,"",All,d,All,d,,c,,c
358,2012/13,S12000023,"",All,d,All,d,,c,,c
359,2013/14,S12000023,"",All,d,All,d,8,"",100,""
360,2014/15,S12000023,"",All,d,All,d,,c,,c
361,2015/16,S12000023,"",All,d,All,d,5,"",100,""
362,2016/17,S12000023,"",All,d,All,d,,c,,c
363,2017/18,S12000023,"",All,d,All,d,5,"",100,""
364,2006/07,S12000048,"",All,d,All,d,166,"",100,""
365,2007/08,S12000048,"",All,d,All,d,240,"",100,""
366,2008/09,S12000048,"",All,d,All,d,268,"",100,""
367,2009/10,S12000048,"",All,d,All,d,122,"",100,""
368,2010/11,S12000048,"",All,d,All,d,176,"",100,""
369,2011/12,S12000048,"",All,d,All,d,278,"",100,""
370,2012/13,S12000048,"",All,d,All,d,276,"",100,""
371,2013/14,S12000048,"",All,d,All,d,,:,,:
372,2014/15,S12000048,"",All,d,All,d,261,"",100,""
373,2015/16,S12000048,"",All,d,All,d,328,"",100,""
374,2016/17,S12000048,"",All,d,All,d,344,"",100,""
375,2017/18,S12000048,"",All,d,All,d,222,"",100,""
376,2018/19,S12000048,"",All,d,All,d,197,"",100,""
377,2006/07,S12000038,"",All,d,All,d,336,"",100,""
378,2007/08,S12000038,"",All,d,All,d,391,"",100,""
379,2008/09,S12000038,"",All,d,All,d,467,"",100,""
380,2009/10,S12000038,"",All,d,All,d,489,"",100,""
381,2010/11,S12000038,"",All,d,All,d,491,"",100,""
382,2011/12,S12000038,"",All,d,All,d,432,"",100,""
383,2012/13,S12000038,"",All,d,All,d,410,"",100,""
384,2013/14,S12000038,"",All,d,All,d,443,"",100,""
385,2014/15,S12000038,"",All,d,All,d,379,"",100,""
386,2015/16,S12000038,"",All,d,All,d,325,"",100,""
387,2016/17,S12000038,"",All,d,All,d,329,"",100,""
388,2017/18,S12000038,"",All,d,All,d,204,"",100,""
389,2018/19,S12000038,"",All,d,All,d,250,"",100,""
390,2006/07,S12000011,"",All,d,All,d,85,"",100,""
391,2007/08,S12000011,"",All,d,All,d,86,"",100,""
392,2008/09,S12000011,"",All,d,All,d,118,"",100,""
393,2009/10,S12000011,"",All,d,All,d,112,"",100,""
394,2010/11,S12000011,"",All,d,All,d,71,"",100,""
395,2011/12,S12000011,"",All,d,All,d,76,"",100,""
396,2012/13,S12000011,"",All,d,All,d,56,"",100,""
397,2013/14,S12000011,"",All,d,All,d,53,"",100,""
398,2014/15,S12000011,"",All,d,All,d,47,"",100,""
399,2015/16,S12000011,"",All,d,All,d,46,"",100,""
400,2016/17,S12000011,"",All,d,All,d,73,"",100,""
401,2017/18,S12000011,"",All,d,All,d,86,"",100,""
402,2018/19,S12000011,"",All,d,All,d,69,"",100,""
403,2006/07,S12000027,"",All,d,All,d,46,"",100,""
404,2007/08,S12000027,"",All,d,All,d,45,"",100,""
405,2008/09,S12000027,"",All,d,All,d,49,"",100,""
406,2009/10,S12000027,"",All,d,All,d,65,"",100,""
407,2010/11,S12000027,"",All,d,All,d,69,"",100,""
408,2011/12,S12000027,"",All,d,All,d,46,"",100,""
409,2012/13,S12000027,"",All,d,All,d,39,"",100,""
410,2013/14,S12000027,"",All,d,All,d,35,"",100,""
411,2014/15,S12000027,"",All,d,All,d,27,"",100,""
412,2015/16,S12000027,"",All,d,All,d,25,"",100,""
413,2016/17,S12000027,"",All,d,All,d,41,"",100,""
414,2017/18,S12000027,"",All,d,All,d,31,"",100,""
415,2018/19,S12000027,"",All,d,All,d,31,"",100,""
416,2006/07,S12000030,"",All,d,All,d,135,"",100,""
417,2007/08,S12000030,"",All,d,All,d,160,"",100,""
418,2008/09,S12000030,"",All,d,All,d,156,"",100,""
419,2009/10,S12000030,"",All,d,All,d,160,"",100,""
420,2010/11,S12000030,"",All,d,All,d,187,"",100,""
421,2011/12,S12000030,"",All,d,All,d,176,"",100,""
422,2012/13,S12000030,"",All,d,All,d,191,"",100,""
423,2013/14,S12000030,"",All,d,All,d,179,"",100,""
424,2014/15,S12000030,"",All,d,All,d,232,"",100,""
425,2015/16,S12000030,"",All,d,All,d,204,"",100,""
426,2016/17,S12000030,"",All,d,All,d,182,"",100,""
427,2017/18,S12000030,"",All,d,All,d,167,"",100,""
428,2018/19,S12000030,"",All,d,All,d,196,"",100,""
429,2006/07,S92000003,d,Under 20yrs old,"",All,d,1054,"",8.64927,""
430,2006/07,S92000003,d,20 to 24 yrs old,"",All,d,2075,"",17.02774,""
431,2006/07,S92000003,d,25 to 29 yrs old,"",All,d,2905,"",23.83883,""
432,2006/07,S92000003,d,30 to 34 yrs old,"",All,d,2603,"",21.36058,""
433,2006/07,S92000003,d,35 to 39 yrs old,"",All,d,1766,"",14.49204,""
434,2006/07,S92000003,d,40 to 44 yrs old,"",All,d,982,"",8.05843,""
435,2006/07,S92000003,d,45+ yrs old,"",All,d,801,"",6.57312,""
436,2006/07,S92000003,d,Unknown,"",All,d,0,"",0,""
437,2007/08,S92000003,d,Under 20yrs old,"",All,d,1043,"",8.06589,""
438,2007/08,S92000003,d,20 to 24 yrs old,"",All,d,2124,"",16.42564,""
439,2007/08,S92000003,d,25 to 29 yrs old,"",All,d,3017,"",23.33153,""
440,2007/08,S92000003,d,30 to 34 yrs old,"",All,d,2666,"",20.61712,""
441,2007/08,S92000003,d,35 to 39 yrs old,"",All,d,1967,"",15.21151,""
442,2007/08,S92000003,d,40 to 44 yrs old,"",All,d,1104,"",8.53762,""
443,2007/08,S92000003,d,45+ yrs old,"",All,d,1008,"",7.79522,""
444,2007/08,S92000003,d,Unknown,"",All,d,2,"",0.01547,""
